op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;8.647432e+03;1.012879e+03;2.680704e+05;2.349924e+09;31
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;8.541500e+03;7.263090e+02;3.245770e+05;2.792420e+09;38
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.122404e+03;4.953256e+02;4.530579e+05;2.791959e+09;74
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.180737e+03;4.978031e+02;4.388323e+05;2.729901e+09;71
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.558466e+03;7.188899e+01;7.781853e+04;4.326240e+08;14
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.570459e+03;9.005952e+01;8.355688e+04;4.655718e+08;15
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.199178e+04;4.287449e+02;8.753998e+05;1.051102e+10;73
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.199178e+04;4.287449e+02;8.753998e+05;1.051102e+10;73
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.191955e+04;4.341492e+02;8.105294e+05;9.673962e+09;68
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.193418e+04;4.641691e+02;8.115245e+05;9.699533e+09;68
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.192907e+04;4.650939e+02;8.350350e+05;9.976333e+09;70
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.195104e+04;4.153397e+02;9.202298e+05;1.101098e+10;77
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.188483e+04;3.938908e+02;9.983260e+05;1.187797e+10;84
strsm;30;1;9a2d19a7;8388608;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0
strsm;30;0;9a2d19a7;8388608;0.000000e+00;1.188301e+04;3.041029e+02;1.033822e+06;1.229296e+10;87
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.966002e+04;7.330033e+02;6.525205e+05;1.936559e+10;22
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.976584e+04;2.225446e+02;2.976584e+05;8.860549e+09;10
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.981680e+04;2.618851e+02;3.578016e+05;1.066932e+10;12
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.987078e+04;5.169118e+02;3.285786e+05;9.817838e+09;11
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.978996e+04;1.821159e+02;5.957992e+05;1.774950e+10;20
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.965390e+04;4.159381e+02;6.523858e+05;1.934959e+10;22
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.971556e+04;2.031170e+02;6.537422e+05;1.942722e+10;22
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.968617e+04;4.474782e+02;4.156063e+05;1.234056e+10;14
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.978292e+04;3.116592e+02;2.978292e+05;8.871196e+09;10
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.979013e+04;2.407945e+02;3.276914e+05;9.762605e+09;11
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.980687e+04;3.272557e+02;3.874893e+05;1.155123e+10;13
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.904138e+04;1.245547e+03;4.646621e+05;1.351925e+10;16
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.978934e+04;2.634151e+02;3.574720e+05;1.064969e+10;12
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.974546e+04;4.819538e+02;3.569456e+05;1.062030e+10;12
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.973181e+04;2.570750e+02;3.567817e+05;1.060856e+10;12
strsm;30;0;9a2d19a7;8388608;0.000000e+00;2.883933e+04;1.341234e+03;4.614292e+05;1.333609e+10;16
sgemm;40;1;0b0dbeb1;12582912;0.000000e+00;4.957715e+01;6.663872e+00;2.950931e+06;1.489420e+08;59522
sgemm;40;1;0b0dbeb1;12582912;0.000000e+00;4.957715e+01;6.663872e+00;2.950931e+06;1.489420e+08;59522
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.298058e+04;6.239013e+02;1.332874e+06;3.065278e+10;58
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.297494e+04;5.626920e+02;1.286597e+06;2.957722e+10;56
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.290282e+04;4.580917e+02;1.282558e+06;2.938594e+10;56
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.294345e+04;4.690384e+02;1.216003e+06;2.791097e+10;53
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.292139e+04;4.034376e+02;1.466969e+06;3.363537e+10;64
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.302485e+04;6.004696e+02;1.266367e+06;2.917774e+10;55
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;2.294977e+04;4.760883e+02;1.308137e+06;3.003436e+10;57
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.768162e+04;5.975191e+02;2.653354e+06;1.530662e+11;46
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.743172e+04;1.365607e+03;2.699291e+06;1.551126e+11;47
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.768280e+04;5.054722e+02;2.653409e+06;1.530678e+11;46
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.773615e+04;5.958041e+02;2.713599e+06;1.566894e+11;47
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.743677e+04;1.470187e+03;2.699528e+06;1.551538e+11;47
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.748896e+04;1.040038e+03;2.701981e+06;1.553849e+11;47
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.748258e+04;8.924691e+02;2.701681e+06;1.553370e+11;47
