Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops;mode
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.883270e+01;6.227816e+02;hetero
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.386612e+00;1.249510e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.022139e+01;1.147463e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.441229e+01;4.804409e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.400892e+00;1.247612e+03;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.859882e+01;6.306133e+02;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.342632e+00;1.255392e+03;homo
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.047850e+01;1.119307e+03;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.864493e+01;6.290537e+02;homo
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.890102e+01;6.205305e+02;hetero
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.353550e+00;1.253926e+03;hetero
0;spotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.290258e+01;9.090168e+02;homo
0;spotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.627895e+00;1.218196e+03;homo
0;spotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;9.325238e+00;1.257733e+03;hetero
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.068515e+01;5.670087e+02;hetero
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.888976e+01;6.209003e+02;homo
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.895257e+01;6.188427e+02;homo
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.868503e+01;6.277036e+02;homo
