Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops;mode
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.838679e+01;1.275683e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.696196e+01;6.345906e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.076937e+01;1.129341e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.798121e+01;6.175609e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.112054e+01;5.704135e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.843255e+01;1.272516e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.709926e+01;6.322420e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.682723e+01;6.369122e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.730362e+01;6.287785e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.856983e+01;1.263109e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.842158e+01;1.273274e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.696108e+01;6.346056e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.638930e+01;6.445772e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.872156e+01;1.252871e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.786663e+01;6.194295e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.843564e+01;1.272302e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.705583e+01;6.329829e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.855193e+01;1.264327e+03;hetero
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.842681e+01;1.272912e+03;hetero
